"repeat","lengths","index"
1,4.045,1
1,2.115,2
1,23.965,3
1,3.0,4
1,15.790000000000001,5
1,3.915,6
1,12.455,7
1,2.82,8
1,3.565,9
1,5.04,10
1,5.11,11
1,5.3500000000000005,12
1,1.485,13
1,1.855,14
1,15.875,15
1,0.41000000000000003,16
1,3.105,17
1,10.43,18
1,38.885,19
1,0.87,20
1,3.83,21
1,10.135,22
1,20.67,23
1,0.42,24
1,22.375,25
1,6.075,26
1,16.19,27
1,0.225,28
2,0.005,1
2,0.04,2
2,4.4350000000000005,3
2,17.03,4
2,2.085,5
2,4.26,6
2,8.78,7
2,14.030000000000001,8
2,3.875,9
2,15.515,10
2,2.13,11
2,18.12,12
2,4.18,13
2,15.72,14
2,5.565,15
2,5.705,16
2,4.96,17
2,14.39,18
2,3.37,19
2,2.665,20
2,0.395,21
2,8.52,22
2,2.37,23
2,5.16,24
2,2.495,25
2,8.01,26
2,5.36,27
2,2.07,28
2,1.3800000000000001,29
2,16.34,30
2,5.69,31
2,10.9,32
2,2.475,33
2,12.665000000000001,34
2,2.05,35
2,7.265000000000001,36
3,0.005,1
3,4.88,2
3,14.105,3
3,20.905,4
3,11.82,5
3,22.135,6
3,1.5250000000000001,7
3,18.725,8
3,6.36,9
3,13.200000000000001,10
3,8.365,11
3,31.35,12
3,3.5700000000000003,13
3,18.935,14
3,3.435,15
3,13.935,16
3,2.88,17
3,7.955,18
3,1.635,19
3,21.685,20
3,2.915,21
3,6.985,22
3,2.7,23
4,0.005,1
4,0.015,2
4,27.265,3
4,2.44,4
4,8.215,5
4,4.61,6
4,2.41,7
4,3.215,8
4,15.465,9
4,4.375,10
4,8.175,11
4,2.94,12
4,10.24,13
4,6.885,14
4,4.64,15
4,4.195,16
4,10.19,17
4,2.015,18
4,7.94,19
4,3.6750000000000003,20
4,4.49,21
4,2.07,22
4,7.54,23
4,1.75,24
4,3.325,25
4,4.8,26
4,6.055,27
4,3.25,28
4,3.94,29
4,0.385,30
4,0.15,31
4,0.12,32
4,7.545,33
4,3.235,34
4,9.24,35
4,3.985,36
4,13.895,37
4,0.5,38
4,3.345,39
4,3.015,40
4,16.555,41
4,4.345,42
4,7.5600000000000005,43
5,0.02,1
5,0.84,2
5,0.555,3
5,4.775,4
5,1.36,5
5,40.730000000000004,6
5,6.99,7
5,6.9,8
5,3.375,9
5,16.97,10
5,1.5350000000000001,11
5,63.35,12
5,2.5300000000000002,13
5,15.975,14
5,1.86,15
5,3.145,16
5,5.39,17
5,16.59,18
5,3.7800000000000002,19
5,7.17,20
5,5.255,21
5,5.33,22
5,3.33,23
5,6.47,24
5,4.595,25
5,6.515000000000001,26
5,1.7650000000000001,27
5,2.575,28
5,0.33,29
6,0.785,1
6,4.28,2
6,4.945,3
6,2.7800000000000002,4
6,0.155,5
6,0.075,6
6,13.645,7
6,1.41,8
6,6.285,9
6,2.825,10
6,1.895,11
6,1.365,12
6,6.055,13
6,7.16,14
6,43.395,15
6,0.35000000000000003,16
6,7.75,17
6,5.95,18
6,6.6850000000000005,19
6,2.515,20
6,2.6550000000000002,21
6,6.12,22
6,7.945,23
6,12.755,24
6,25.8,25
6,14.370000000000001,26
6,11.455,27
6,4.4350000000000005,28
6,6.125,29
6,1.1500000000000001,30
6,7.1850000000000005,31
6,2.61,32
6,17.095,33
7,0.005,1
7,16.345,2
7,1.595,3
7,42.385,4
7,3.495,5
7,5.44,6
7,0.51,7
7,2.2,8
7,7.345,9
7,2.79,10
7,8.805,11
7,14.49,12
7,7.795,13
7,29.055,14
7,3.615,15
7,2.845,16
7,4.64,17
7,23.495,18
7,1.46,19
7,8.38,20
7,3.02,21
7,24.77,22
7,2.8850000000000002,23
7,19.71,24
7,2.93,25
8,0.005,1
8,0.015,2
8,11.255,3
8,4.615,4
8,17.565,5
8,0.455,6
8,4.885,7
8,4.525,8
8,33.145,9
8,3.225,10
8,18.845,11
8,2.855,12
8,5.59,13
8,3.535,14
8,25.71,15
8,2.825,16
8,7.84,17
8,1.7,18
8,1.4000000000000001,19
8,3.75,20
8,10.685,21
8,1.655,22
8,2.125,23
8,2.095,24
8,3.435,25
8,7.855,26
8,7.245,27
8,8.625,28
8,13.82,29
8,4.125,30
8,22.895,31
8,1.555,32
8,0.15,33
9,0.005,1
9,48.285000000000004,2
9,10.68,3
9,5.355,4
9,1.19,5
9,10.34,6
9,4.325,7
9,17.825,8
9,2.38,9
9,8.96,10
9,1.18,11
9,11.120000000000001,12
9,4.55,13
9,19.150000000000002,14
9,8.61,15
9,4.5,16
9,0.525,17
9,3.715,18
9,3.265,19
9,10.745000000000001,20
9,0.865,21
9,1.6400000000000001,22
9,7.17,23
9,10.355,24
9,6.37,25
9,19.215,26
9,6.55,27
9,11.135,28
10,0.005,1
10,0.015,2
10,12.675,3
10,0.72,4
10,7.155,5
10,0.17,6
10,39.45,7
10,2.455,8
10,18.075,9
10,3.495,10
10,4.635,11
10,7.8100000000000005,12
10,21.34,13
10,5.6000000000000005,14
10,2.84,15
10,4.555,16
10,11.915000000000001,17
10,0.105,18
10,5.265,19
10,2.495,20
10,6.6450000000000005,21
10,1.745,22
10,30.82,23
10,1.45,24
10,10.005,25
10,5.33,26
10,0.31,27
10,4.57,28
10,3.395,29
10,4.925,30
10,3.62,31
10,2.74,32
10,9.515,33
10,0.295,34
10,1.11,35
10,2.755,36
11,0.005,1
11,17.255,2
11,0.37,3
11,4.195,4
11,0.65,5
11,5.13,6
11,7.945,7
11,3.1,8
11,4.355,9
11,2.33,10
11,2.33,11
11,8.700000000000001,12
11,2.15,13
11,10.370000000000001,14
11,3.06,15
11,0.29,16
11,6.125,17
11,38.985,18
11,5.94,19
11,22.925,20
11,4.07,21
11,18.01,22
11,7.84,23
11,3.705,24
11,3.1750000000000003,25
11,14.19,26
11,2.455,27
11,5.355,28
11,3.4450000000000003,29
