"repeat","lengths","index"
6,12.875,38
6,3.35,39
6,6.61,40
6,0.115,41
6,0.49,42
6,4.01,43
6,7.71,44
6,0.25,45
6,0.195,46
6,10.040000000000001,47
6,11.81,48
6,5.5600000000000005,49
6,23.045,50
6,5.445,51
6,1.6500000000000001,52
6,0.625,53
6,5.035,54
6,0.2,55
6,13.565,56
6,4.585,57
6,6.235,58
7,1.94,1
7,4.49,2
7,0.08,3
7,6.5,4
7,0.02,5
7,4.07,6
7,4.59,7
7,10.56,8
7,0.065,9
7,0.15,10
7,0.31,11
7,1.22,12
7,0.265,13
7,7.49,14
7,4.41,15
7,15.305,16
7,3.105,17
7,0.5,18
7,0.095,19
7,11.845,20
7,0.11,21
7,17.395,22
7,0.11,23
7,10.18,24
7,1.68,25
7,6.78,26
7,7.035,27
7,11.32,28
7,0.97,29
7,18.03,30
7,2.765,31
7,13.6,32
7,0.02,33
7,10.14,34
7,1.45,35
7,14.915000000000001,36
7,2.215,37
7,4.4750000000000005,38
7,1.61,39
7,1.285,40
7,0.07,41
7,3.095,42
7,4.515,43
7,1.375,44
7,0.125,45
7,6.99,46
7,0.74,47
7,3.16,48
7,6.3100000000000005,49
7,4.73,50
7,0.325,51
7,0.01,52
7,5.465,53
8,0.05,1
8,0.22,2
8,0.09,3
8,0.11,4
8,6.565,5
8,3.3000000000000003,6
8,19.81,7
8,0.4,8
8,5.32,9
8,0.405,10
8,1.26,11
8,1.145,12
8,3.69,13
8,0.325,14
8,2.33,15
8,0.025,16
8,1.245,17
8,1.79,18
8,5.8,19
8,5.7250000000000005,20
8,3.335,21
8,2.97,22
8,29.765,23
8,0.195,24
8,21.240000000000002,25
8,2.395,26
8,3.14,27
8,0.04,28
8,11.885,29
8,0.065,30
8,3.67,31
8,0.36,32
8,8.035,33
8,0.1,34
8,3.74,35
8,1.0150000000000001,36
8,17.78,37
8,6.945,38
8,3.0300000000000002,39
8,3.765,40
8,2.705,41
8,0.14,42
8,0.025,43
8,0.12,44
8,0.55,45
8,0.14,46
8,12.695,47
8,0.065,48
8,3.99,49
8,6.140000000000001,50
8,2.42,51
8,1.745,52
8,11.365,53
8,2.21,54
8,12.620000000000001,55
9,0.005,1
9,0.28500000000000003,2
9,10.885,3
9,1.805,4
9,0.16,5
9,6.3500000000000005,6
9,12.515,7
9,3.935,8
9,4.965,9
