"DF","PR","repeat","gamma","x"
1.0,1.0,1,0.01,0.537717964209079
1.6475489724420658,1.0,1,0.01,0.6007999833336806
2.7144176165949068,1.0,1,0.01,0.6881731630591029
4.47213595499958,1.0,1,0.01,0.7853794712610154
7.368062997280774,1.0,1,0.01,0.828941063727839
12.139244620058346,1.0,1,0.01,0.9031270181871212
20.000000000000004,1.0,1,0.01,0.9526051540592905
1.0,1.6475489724420658,1,0.01,0.5808420657902961
1.6475489724420658,1.6475489724420658,1,0.01,0.6664444490739776
2.7144176165949068,1.6475489724420658,1,0.01,0.7666298618778775
4.47213595499958,1.6475489724420658,1,0.01,0.8547530259786255
7.368062997280774,1.6475489724420658,1,0.01,0.9091268931897252
12.139244620058346,1.6475489724420658,1,0.01,0.935438845024062
20.000000000000004,1.6475489724420658,1,0.01,0.9775421345388637
1.0,2.7144176165949068,1,0.01,0.6325701547884419
1.6475489724420658,2.7144176165949068,1,0.01,0.7029020228745234
2.7144176165949068,2.7144176165949068,1,0.01,0.8233995125101561
4.47213595499958,2.7144176165949068,1,0.01,0.935334680527489
7.368062997280774,2.7144176165949068,1,0.01,0.9695214683027437
12.139244620058346,2.7144176165949068,1,0.01,0.9907918585029478
20.000000000000004,2.7144176165949068,1,0.01,0.9989791879335848
1.0,4.47213595499958,1,0.01,0.0
1.6475489724420658,4.47213595499958,1,0.01,0.9999791671006854
2.7144176165949068,4.47213595499958,1,0.01,0.9999791671006854
4.47213595499958,4.47213595499958,1,0.01,1.0
7.368062997280774,4.47213595499958,1,0.01,1.0
12.139244620058346,4.47213595499958,1,0.01,1.0
20.000000000000004,4.47213595499958,1,0.01,1.0
1.0,7.368062997280774,1,0.01,1.0
1.6475489724420658,7.368062997280774,1,0.01,0.9999791671006854
2.7144176165949068,7.368062997280774,1,0.01,0.0
4.47213595499958,7.368062997280774,1,0.01,1.0
7.368062997280774,7.368062997280774,1,0.01,0.9999791671006854
12.139244620058346,7.368062997280774,1,0.01,1.0
20.000000000000004,7.368062997280774,1,0.01,1.0
1.0,12.139244620058346,1,0.01,1.0
1.6475489724420658,12.139244620058346,1,0.01,1.0
2.7144176165949068,12.139244620058346,1,0.01,0.9999791671006854
4.47213595499958,12.139244620058346,1,0.01,1.0
