"DF","PR","repeat","sigma_p","x"
1.0,1.0,1,1.0,0.6969438136705486
1.6475489724420658,1.0,1,1.0,0.686048207329014
2.7144176165949068,1.0,1,1.0,0.7313180975396346
4.47213595499958,1.0,1,1.0,0.7101310389366888
7.368062997280774,1.0,1,1.0,0.7286723193266806
12.139244620058346,1.0,1,1.0,0.7426095289681465
20.000000000000004,1.0,1,1.0,0.7809628966063207
1.0,1.6475489724420658,1,1.0,0.6717776712985146
1.6475489724420658,1.6475489724420658,1,1.0,0.7327764004916564
2.7144176165949068,1.6475489724420658,1,1.0,0.7725047394845941
4.47213595499958,1.6475489724420658,1,1.0,0.7935459677923377
7.368062997280774,1.6475489724420658,1,1.0,0.8304618653778046
12.139244620058346,1.6475489724420658,1,1.0,0.8017332972229745
20.000000000000004,1.6475489724420658,1,1.0,0.8514822607862336
1.0,2.7144176165949068,1,1.0,0.6612570571446428
1.6475489724420658,2.7144176165949068,1,1.0,0.7389429386887774
2.7144176165949068,2.7144176165949068,1,1.0,0.844315743422012
4.47213595499958,2.7144176165949068,1,1.0,0.8547113601799963
7.368062997280774,2.7144176165949068,1,1.0,0.8724609903960334
12.139244620058346,2.7144176165949068,1,1.0,0.8882523280764985
20.000000000000004,2.7144176165949068,1,1.0,0.8614612195579259
1.0,4.47213595499958,1,1.0,0.8030457698797941
1.6475489724420658,4.47213595499958,1,1.0,0.8626070290202288
2.7144176165949068,4.47213595499958,1,1.0,0.9158350867690257
4.47213595499958,4.47213595499958,1,1.0,0.9406054040540822
7.368062997280774,4.47213595499958,1,1.0,0.9361054978021291
12.139244620058346,4.47213595499958,1,1.0,0.952521822462032
20.000000000000004,4.47213595499958,1,1.0,0.9679173350555197
1.0,7.368062997280774,1,1.0,0.869065227807754
1.6475489724420658,7.368062997280774,1,1.0,0.9159184183662841
2.7144176165949068,7.368062997280774,1,1.0,0.9533134726359868
4.47213595499958,7.368062997280774,1,1.0,0.9872085998208371
7.368062997280774,7.368062997280774,1,1.0,0.986125289056478
12.139244620058346,7.368062997280774,1,1.0,0.9861877877544217
20.000000000000004,7.368062997280774,1,1.0,0.9948126080706652
1.0,12.139244620058346,1,1.0,0.9332930563946584
1.6475489724420658,12.139244620058346,1,1.0,0.973958875856753
2.7144176165949068,12.139244620058346,1,1.0,0.9960834149288557
4.47213595499958,12.139244620058346,1,1.0,1.0
7.368062997280774,12.139244620058346,1,1.0,0.9999791671006854
12.139244620058346,12.139244620058346,1,1.0,1.0
20.000000000000004,12.139244620058346,1,1.0,1.0
1.0,20.000000000000004,1,1.0,0.9312097664631986
1.6475489724420658,20.000000000000004,1,1.0,0.9977500468740235
2.7144176165949068,20.000000000000004,1,1.0,1.0
4.47213595499958,20.000000000000004,1,1.0,1.0
7.368062997280774,20.000000000000004,1,1.0,0.9999791671006854
12.139244620058346,20.000000000000004,1,1.0,1.0
20.000000000000004,20.000000000000004,1,1.0,0.9999791671006854
1.0,1.0,2,1.0,0.6638611695589676
1.6475489724420658,1.0,2,1.0,0.6736317993375138
2.7144176165949068,1.0,2,1.0,0.7427970250619779
4.47213595499958,1.0,2,1.0,0.7149642715776755
7.368062997280774,1.0,2,1.0,0.7427553592633487
12.139244620058346,1.0,2,1.0,0.7651507260265411
20.000000000000004,1.0,2,1.0,0.7787129434803441
1.0,1.6475489724420658,2,1.0,0.703964500739568
1.6475489724420658,1.6475489724420658,2,1.0,0.6639028353575968
2.7144176165949068,1.6475489724420658,2,1.0,0.7408387325264058
4.47213595499958,1.6475489724420658,2,1.0,0.7838170038124206
7.368062997280774,1.6475489724420658,2,1.0,0.7835670090206454
12.139244620058346,1.6475489724420658,2,1.0,0.8378575446344868
20.000000000000004,1.6475489724420658,2,1.0,0.8248578154621778
1.0,2.7144176165949068,2,1.0,0.7833170142288702
1.6475489724420658,2.7144176165949068,2,1.0,0.7564217412137247
2.7144176165949068,2.7144176165949068,2,1.0,0.7710881023312014
4.47213595499958,2.7144176165949068,2,1.0,0.8554821774546364
7.368062997280774,2.7144176165949068,2,1.0,0.8296910481031645
12.139244620058346,2.7144176165949068,2,1.0,0.8734818024624487
20.000000000000004,2.7144176165949068,2,1.0,0.9076685902377034
1.0,4.47213595499958,2,1.0,0.7963584091998084
1.6475489724420658,4.47213595499958,2,1.0,0.8073165142392866
2.7144176165949068,4.47213595499958,2,1.0,0.8853982208703985
4.47213595499958,4.47213595499958,2,1.0,0.9171267265265307
7.368062997280774,4.47213595499958,2,1.0,0.9332097247974
12.139244620058346,4.47213595499958,2,1.0,0.9614383033686799
20.000000000000004,4.47213595499958,2,1.0,0.9637715880919148
1.0,7.368062997280774,2,1.0,0.8700652069748547
1.6475489724420658,7.368062997280774,2,1.0,0.8643778254619695
2.7144176165949068,7.368062997280774,2,1.0,0.9677090060623738
4.47213595499958,7.368062997280774,2,1.0,0.9878752525989042
7.368062997280774,7.368062997280774,2,1.0,0.9877919210016458
12.139244620058346,7.368062997280774,2,1.0,0.9918543363679924
20.000000000000004,7.368062997280774,2,1.0,0.9943334513864295
1.0,12.139244620058346,2,1.0,0.9390221037061728
1.6475489724420658,12.139244620058346,2,1.0,0.9882919105851962
2.7144176165949068,12.139244620058346,2,1.0,0.9986666944438658
4.47213595499958,12.139244620058346,2,1.0,0.9973333888877315
7.368062997280774,12.139244620058346,2,1.0,0.9997291723089102
12.139244620058346,12.139244620058346,2,1.0,0.9999791671006854
20.000000000000004,12.139244620058346,2,1.0,1.0
1.0,20.000000000000004,2,1.0,0.9378971271431845
1.6475489724420658,20.000000000000004,2,1.0,0.9780837899210433
2.7144176165949068,20.000000000000004,2,1.0,1.0
4.47213595499958,20.000000000000004,2,1.0,0.9999791671006854
7.368062997280774,20.000000000000004,2,1.0,1.0
12.139244620058346,20.000000000000004,2,1.0,0.9999791671006854
20.000000000000004,20.000000000000004,2,1.0,0.9999791671006854
1.0,1.0,3,1.0,0.6272369325639049
1.6475489724420658,1.0,3,1.0,0.7115893418887107
2.7144176165949068,1.0,3,1.0,0.7023603674923439
4.47213595499958,1.0,3,1.0,0.7224224495323014
7.368062997280774,1.0,3,1.0,0.7722339117935043
12.139244620058346,1.0,3,1.0,0.7653173892210579
20.000000000000004,1.0,3,1.0,0.7833170142288702
1.0,1.6475489724420658,3,1.0,0.6955271765171559
1.6475489724420658,1.6475489724420658,3,1.0,0.6892356409241475
2.7144176165949068,1.6475489724420658,3,1.0,0.7558800858315452
4.47213595499958,1.6475489724420658,3,1.0,0.7899210433115976
7.368062997280774,1.6475489724420658,3,1.0,0.7765046561529968
12.139244620058346,1.6475489724420658,3,1.0,0.8393158475865086
20.000000000000004,1.6475489724420658,3,1.0,0.8680235828420241
1.0,2.7144176165949068,3,1.0,0.6891106435282598
1.6475489724420658,2.7144176165949068,3,1.0,0.7409428970229787
2.7144176165949068,2.7144176165949068,3,1.0,0.8141705381137893
4.47213595499958,2.7144176165949068,3,1.0,0.8291285598216703
7.368062997280774,2.7144176165949068,3,1.0,0.8639820003749922
12.139244620058346,2.7144176165949068,3,1.0,0.882939938751276
20.000000000000004,2.7144176165949068,3,1.0,0.905668631903502
1.0,4.47213595499958,3,1.0,0.8053165559050853
1.6475489724420658,4.47213595499958,3,1.0,0.8313368471490177
2.7144176165949068,4.47213595499958,3,1.0,0.9048353159309181
4.47213595499958,4.47213595499958,3,1.0,0.9327514010124789
7.368062997280774,4.47213595499958,3,1.0,0.9495843836586738
